el article	el	article	masculine singular definite article; the		
regar verb	regar	verb	to irrigate	¿A qué hora riegas el jardín comunitario?	What time do you water the community garden?
encantado adj	encantado	adj	enchanted, charmed	Estoy encantado con el resultado final.	I am delighted with the final result.
escalar verb	escalar	verb	to scale, to climb	Quiero escalar montañas con amigos.	I want to climb mountains with friends.
magnitud noun	magnitud	noun	magnitude	xxx	xxx
escalar adj	escalar	adj	scalar	La magnitud escalar no tiene dirección.	Scalar magnitude has no direction.
propiedad noun	propiedad	noun	propriety (fact of possessing something), proprietary	Dividieron la propiedad en partes iguales.	They divided the property into equal parts.
obligado adj	obligado	adj	obliged, obligated	No estoy obligado a responder ahora.	I am not obligated to answer now.
ochenta num	ochenta	num	eighty	Viajamos ochenta kilómetros en coche.	We traveled eighty kilometers by car.
compuesto adj	compuesto	adj	compound, composite	El interés compuesto crece más rápido.	Compound interest grows faster.
pinta noun	pinta	noun	look, appearance	La herida tiene mala pinta.	The wound looks bad.
filosofía noun	filosofía	noun	philosophy	La filosofía me enseña a pensar.	Philosophy teaches me to think.
príncipe noun	príncipe	noun	prince	El joven príncipe aprendió historia con paciencia.	The young prince learned history with patience.
edición noun	edición	noun	edit, editing, edition	xxx	xxx
príncipe adj	príncipe	adj	first (edition of a publication)	La edición príncipe de ese poema es muy rara.	The first edition of that poem is very rare.
especie noun	especie	noun	species, type, sort, kind	xxx	xxx
sexo noun	sexo	noun	sex (the biological category)	Algunas especies de peces cambian de sexo según el ambiente.	Some species of fish change sex depending on the environment.
nuclear adj	nuclear	adj	nuclear	La familia nuclear tiene dos hijos.	The nuclear family has two children.
postre noun	postre	noun	dessert; sweet	Me encantan los postres de chocolate.	I love chocolate desserts.
numeroso adj	numeroso	adj	numerous	Encontramos numerosas opciones para viajar.	We found numerous options for traveling.
charlar verb	charlar	verb	to chat, to chatter, to chitchat	¿Puedes charlar conmigo durante cinco minutos ahora?	Can you chat with me for five minutes now?
circunstancia noun	circunstancia	noun	circumstance	Bajo ninguna circunstancia debes mentir.	Under no circumstances should you lie.
flauta noun	flauta	noun	flute	Compré una flauta de madera barata.	I bought a cheap wooden flute.
central adj	central	adj	central	La plaza central siempre se llena.	The central square always fills up.
espectáculo noun	espectáculo	noun	show, performance (play, dance, some act or series of acts of public entertainment, often live)	Compramos entradas para dos espectáculos nocturnos.	We bought tickets for two evening shows.
postal adj	postal	adj	postal	El servicio postal funciona más lentamente los lunes.	The postal service operates more slowly on Mondays.
postal noun	postal	noun	postcard	Compré una postal en el museo.	I bought a postcard at the museum.
estrecho adj	estrecho	adj	narrow	Esta silla tiene un asiento estrecho y duro.	This chair has a narrow, hard seat.
estrecho noun	estrecho	noun	strait	Muchos barcos cruzan el estrecho durante la noche tranquila.	Many ships cross the strait during the quiet night.
atrapado adj	atrapado	adj	caught, captured, trapped, stuck	Quedaron atrapados entre dos decisiones difíciles.	They were trapped between two difficult decisions.
tolerar verb	tolerar	verb	to tolerate	En esta casa toleramos opiniones diferentes.	In this house we tolerate different opinions.
profesional adj	profesional	adj	professional	Necesitamos herramientas profesionales para reparar bien.	We need professional tools to repair properly.
profesional noun	profesional	noun	professional	Contrataremos profesionales locales para el proyecto.	We will hire local professionals for the project.
baile noun	baile	noun	dance (the art, profession, and study of dancing)	Practica el baile clásico cada tarde.	They practice classical dance every afternoon.
especialmente adv	especialmente	adv	specially	Me gusta especialmente el chocolate caliente.	I especially like hot chocolate.
enero noun	enero	noun	January	Mi cumpleaños es en enero.	My birthday is in January.
cultivar noun	cultivar	noun	cultivar	El color del cultivar influye en las ventas.	The cultivar's color influences sales.
activo adj	activo	adj	active	Los niños están muy activos hoy.	The children are very active today.
activo noun	activo	noun	asset (any property or material right of an enterprise or individual)	El activo principal de la empresa es su marca.	The company's main asset is its brand.
desastre noun	desastre	noun	disaster, catastrophe, calamity	Nadie esperaba semejante desastre natural.	No one expected such a natural disaster.
salvaje adj	salvaje	adj	wild, savage (untamed, not domesticated)	Vimos perros salvajes en la montaña.	We saw wild dogs on the mountain.
salvaje noun	salvaje	noun	savage	En la novela, lo llaman un salvaje.	In the novel, they call him a savage.
preocupación noun	preocupación	noun	preoccupation	La preocupación por el clima aumenta.	Concern about the climate is increasing.
anciana noun	anciana	noun	female equivalent of anciano	La anciana camina despacio cada mañana.	The elderly woman walks slowly every morning.
habitual adj	habitual	adj	habitual	Su comportamiento habitual preocupa a todos.	Their usual behavior worries everyone.
puerto noun	puerto	noun	port, harbour	El barco llegó al puerto esta mañana.	The ship arrived at the port this morning.
quinto adj	quinto	adj	fifth	Encontré la respuesta en la quinta página.	I found the answer on the fifth page.
quinto noun	quinto	noun	fifth, ¹⁄₅	Dos quintos del grupo llegaron tarde.	Two fifths of the group arrived late.
adolescente adj	adolescente	adj	adolescent	El chico adolescente estudia cada tarde.	The teenage boy studies every afternoon.
adolescente noun	adolescente	noun	adolescent, teenager	Muchos adolescentes necesitan apoyo familiar.	Many teenagers need family support.
líquido adj	líquido	adj	liquid	La pintura líquida se seca muy rápido.	Liquid paint dries very quickly.
líquido noun	líquido	noun	liquid; fluid	Los líquidos cambian de forma fácilmente.	Liquids change shape easily.
alarma noun	alarma	noun	alarm (a summons to arms)	Tras la alarma, los soldados corrieron al muro.	After the alarm, the soldiers ran to the wall.
tigre noun	tigre	noun	tiger	Un tigre puede correr muy rápido al cazar.	A tiger can run very fast when hunting.
biblia noun	biblia	noun	bible (a comprehensive manual that describes something)	En música, ese diccionario sirve como biblia para estudiantes.	In music, that dictionary serves as a bible for students.
ardilla noun	ardilla	noun	squirrel	Una ardilla gris vivía cerca del parque.	A gray squirrel lived near the park.
gigante adj	gigante	adj	giant, gigantic	Vimos mariposas gigantes en el parque.	We saw giant butterflies in the park.
gigante noun	gigante	noun	giant	El gigante pidió agua y pan.	The giant asked for water and bread.
elemento noun	elemento	noun	element (atmospheric forces)	Los marineros enfrentaron los elementos con calma y experiencia.	The sailors faced the elements with calm and experience.
sudo verb	sudo	verb	first-person singular present indicative of sudar	xxx	xxx
picar verb	picar	verb	to itch (to feel itchy; to feel a need to be scratched)	Cuando sudo, me pican las piernas.	When I sweat, my legs itch.
contraseña noun	contraseña	noun	password	Por favor, ingresa tu contraseña segura.	Please enter your secure password.
cocer verb	cocer	verb	to boil	¿Puedes cocer los huevos durante diez minutos?	Can you boil the eggs for ten minutes?
referir verb	referir	verb	to report	Ayer le referí el problema al jefe.	Yesterday I referred the problem to the boss.
agotar verb	agotar	verb	to exhaust, deplete, use up	Corrió tanto que se agotó enseguida.	They ran so much that they got exhausted right away.
esquiar verb	esquiar	verb	to ski	Me gusta esquiar en invierno.	I like to ski in winter.
templo noun	templo	noun	temple (a house of worship)	El templo antiguo está en la colina.	The ancient temple is on the hill.
ilusión noun	ilusión	noun	illusion	Confundió la sombra con una ilusión.	They confused the shadow with an illusion.
cuaderno noun	cuaderno	noun	notebook	Necesito un cuaderno nuevo para matemáticas.	I need a new notebook for math.
gira noun	gira	noun	tour (a journey through a list of places)	Su gira mundial agotó las entradas en todas partes.	Their world tour sold out everywhere.
petróleo noun	petróleo	noun	petroleum, oil	El precio del petróleo subió por la guerra.	The price of oil rose because of the war.
manga noun	manga	noun	sleeve	Tus mangas están demasiado largas hoy.	Your sleeves are too long today.
nieto noun	nieto	noun	grandchild; grandson	Mi nieto aprende a leer cada tarde.	My grandson is learning to read every afternoon.
jueves noun	jueves	noun	Thursday	El jueves tenemos examen de matemáticas.	On Thursday we have a math exam.
archivo noun	archivo	noun	archive	El archivo histórico guarda documentos valiosos.	The historical archive holds valuable documents.
decepcionado adj	decepcionado	adj	disappointed, gutted (UK), disillusioned	Ella quedó decepcionada porque cancelaron el concierto.	She was disappointed because they canceled the concert.
afortunado adj	afortunado	adj	lucky, fortunate	Me siento muy afortunado hoy.	I feel very fortunate today.
bombero noun	bombero	noun	firefighter	El bombero apagó el incendio rápidamente.	The firefighter put out the fire quickly.
engordar verb	engordar	verb	to get fat, grow fat, fatten	Antes, yo engordaba con mucha facilidad.	Before, I used to gain weight very easily.
presupuesto noun	presupuesto	noun	budget, estimate, reason, motive	xxx	xxx
encargar verb	encargar	verb	to entrust	Me encargaron revisar los presupuestos para mañana.	I was tasked with reviewing the budgets for tomorrow.
ánimo noun	ánimo	noun	soul, spirit, mood	Su estado de ánimo mejoró hoy.	Their mood improved today.
ánimo intj	ánimo	intj	have courage!, cheer up!, keep your head up!, good luck!, chin up!	¡Ánimo, que ya casi llegas!	Keep going, you're almost there!
químico adj	químico	adj	chemical (of or relating to chemistry)	Usaron productos químicos seguros para limpiar.	They used safe chemicals to clean.
químico noun	químico	noun	chemist (person working in chemistry)	Aquellas químicas enseñan seguridad en los experimentos.	Those women chemists teach safety in experiments.
anunciar verb	anunciar	verb	to announce, to herald, to proclaim	El gobierno anunciará nuevas medidas mañana.	The government will announce new measures tomorrow.
señorita noun	señorita	noun	young woman	Esa señorita lleva un vestido azul claro.	That young lady is wearing a light blue dress.
